fitmethod,antigenicdist,aaver,adjver,featureType,protein_name,serum,lower,Median,upper
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2005/01574/05,1.5496099085542063,1.5920376292120821,1.6310953636478267
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2006/00036/06,0.4426139918399693,0.46577820185141755,0.4845566109074043
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2006/00127/06,1.4495278944555108,1.4792163952803548,1.5220972861735849
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2006/00444/06,1.3439106343747265,1.3738754207714359,1.406824135488871
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2006/00525/06,0.3137517422727589,0.3341143952191773,0.3533861882930447
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2006/00586/06,0,0,0
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2006/00697/06,0.603618208582212,0.6240959790982099,0.657920006389026
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2006/02337/06,2.2188507276260183,2.2505458833712404,2.2854543753073244
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2007/00408/07,0,0,0
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2007/00496/07,0,0,0
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2007/00511/07,2.0682229239186194,2.0907470567302284,2.1303320014255562
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2007/02039/07,0,0,0
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2007/02071/07,1.2962657615276123,1.3334681517645741,1.3641343702632565
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2010/00791/10,1.453847062553673,1.4864503851137205,1.5172745063142852
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2010/01066/10,0.35387589028115873,0.44417782227517794,0.5055873755089323
nnls,thai_map,AA_NS2A_beyondE,adj_envelope,aasub,subset,DENV2/THAILAND/2010/01363/10,0,0,0
