virus,avidity
DENV3/THAILAND/2001/03291/01,1.0689339530179305
DENV2/THAILAND/2005/01495/05,1.067913476702661
DENV1/THAILAND/2006/00371/06,1.0617439245601383
DENV4/THAILAND/2006/02540/06,1.0608487709385643
DENV4/THAILAND/2007/02392/07,1.054555073968805
DENV4/THAILAND/2007/01101/07,1.044218438738741
DENV4/THAILAND/2007/01991/07,1.034995807314262
DENV2/THAILAND/1995/00775/95,1.028388592666501
DENV3/THAILAND/2002/00104/02,1.0261919021509514
DENV3/THAILAND/2006/02784/06,1.018197362628549
DENV3/THAILAND/1995/01296/95,1.0110463968239425
DENV4/THAILAND/2012/01104/12,1.0074227008932557
DENV2/THAILAND/2000/01754/00,1.0051516389861
DENV3/THAILAND/2001/06503/01,1.0026383775348173
DENV2/THAILAND/2014/00740/14,0.9977982873534492
DENV1/THAILAND/1995/00410/95,0.993063234266386
DENV1/THAILAND/2006/00113/06,0.9883904059645391
DENV1/THAILAND/2014/00485/14,0.9866446537487705
DENV1/THAILAND/1997/02080/97,0.9861377383378707
DENV1/THAILAND/1997/02588/97,0.9782872588240737
DENV2/THAILAND/1998/00309/98,0.9728170245503938
DENV2/THAILAND/2013/00058/13,0.9705385531122468
DENV1/THAILAND/2005/00743/05,0.965887039531721
DENV4/THAILAND/2001/04094/01,0.9579667225859394
DENV3/THAILAND/2001/00984/01,0.956363473368713
DENV3/THAILAND/2000/05499/00,0.9556361912069063
DENV1/THAILAND/1994/00817/94,0.9551822176428235
DENV2/THAILAND/1995/01800/95,0.954259083767273
DENV1/THAILAND/2006/02193/06,0.9396261606287617
DENV1/THAILAND/2013/00297/13,0.9391386484170486
DENV2/THAILAND/1998/04648/98,0.9137976192035304
DENV1/THAILAND/2006/01170/06,0.9000918458530023
DENV3/THAILAND/2012/00608/12,0.8973371162939286
DENV1/THAILAND/2005/01040/05,0.8748081526433583
DENV3/THAILAND/1994/01311/94,0.8722060298124908
DENV3/THAILAND/1998/04331/98,0.8643257822983257
DENV2/THAILAND/2002/00060/02,0.8545135714312261
DENV3/THAILAND/2014/00739/14,0.8537406781069297
DENV4/THAILAND/1999/04390/99,0.8520409257766436
DENV4/THAILAND/2007/01840/07,0.8363397206540621
DENV2/THAILAND/2000/06013/00,0.8217731913310709
DENV4/THAILAND/2012/00112/12,0.8142767987959977
DENV3/THAILAND/2013/00695/13,0.8099562271317016
DENV1/THAILAND/2014/00554/14,0.8083612080012913
DENV4/THAILAND/2010/01513/10,0.8066156246247707
DENV3/THAILAND/2009/00702/09,0.8027731999482656
DENV2/THAILAND/2010/01066/10,0.78873568662344
DENV2/THAILAND/2000/00342/00,0.7842105170128443
DENV3/THAILAND/2005/00806/05,0.7815061478691298
DENV3/THAILAND/2013/00693/13,0.7774995150411277
DENV3/THAILAND/2012/00817/12,0.777389591921291
DENV3/THAILAND/1994/00255/94,0.7739695689255072
DENV4/THAILAND/1996/01129/96,0.7684300772083735
DENV1/THAILAND/2006/02050/06,0.7682156401261002
DENV4/THAILAND/1994/00329/94,0.7583870030445905
DENV2/THAILAND/1994/00126/94,0.7563533562870927
DENV4/THAILAND/2011/00477/11,0.751057144164912
DENV3/THAILAND/2000/05815/00,0.7473639253450478
DENV3/THAILAND/2008/01398/08,0.7460717567894063
DENV1/THAILAND/2004/00758/04,0.7393768170622094
DENV1/THAILAND/1994/01495/94,0.7298735931364144
DENV2/THAILAND/2014/00016/14,0.7239131717411763
DENV4/THAILAND/2007/00694/07,0.7233011257423326
DENV2/THAILAND/1999/04177/99,0.7182443518758411
DENV4/THAILAND/2004/01544/04,0.7155266950853467
DENV1/THAILAND/2000/05580/00,0.7104787162450676
DENV3/THAILAND/1996/01528/96,0.7066093158037683
DENV1/THAILAND/2012/00777/12,0.6998823156237758
DENV3/THAILAND/2012/01094/12,0.6946237054539747
DENV2/THAILAND/2012/00258/12,0.6909019040170825
DENV2/THAILAND/2011/01220/11,0.686929462579401
DENV1/THAILAND/2002/03030/02,0.6822782985584596
DENV3/THAILAND/2010/00075/10,0.6765495598794393
DENV1/THAILAND/2004/01604/04,0.6695487623740706
DENV1/THAILAND/2006/01332/06,0.6677383396476191
DENV3/THAILAND/2004/00991/04,0.6637256339202455
DENV4/THAILAND/2002/03060/02,0.6549508954446742
DENV3/THAILAND/1994/00831/94,0.6464876186512367
DENV2/THAILAND/2001/02900/01,0.6453130947501373
DENV2/THAILAND/1998/06895/98,0.6452183248656204
DENV2/THAILAND/2004/01666/04,0.6349172668006998
DENV3/THAILAND/1996/01941/96,0.6324273832053242
DENV2/THAILAND/1998/00554/98,0.6296845806269264
DENV3/THAILAND/2013/00910/13,0.6288621873777406
DENV2/THAILAND/2006/00697/06,0.6273730618016757
DENV4/THAILAND/2007/00119/07,0.625451441217291
DENV3/THAILAND/2002/03135/02,0.6250637010242442
DENV2/THAILAND/1995/01656/95,0.6202328525225176
DENV3/THAILAND/2006/02341/06,0.6158915524641065
DENV3/THAILAND/2001/04045/01,0.614982555941999
DENV3/THAILAND/2001/05611/01,0.6125127075739508
DENV4/THAILAND/2001/00886/01,0.6098925315514937
DENV4/THAILAND/2000/02143/00,0.6093789549493712
DENV1/THAILAND/2012/00511/12,0.6071631893775576
DENV3/THAILAND/2004/01184/04,0.6068726075389116
DENV3/THAILAND/2003/01619/03,0.6022382833466958
DENV4/THAILAND/2006/00578/06,0.6012051189291564
DENV3/THAILAND/2010/01385/10,0.5968503198684796
DENV4/THAILAND/2010/00283/10,0.5962377765756152
DENV4/THAILAND/2002/03096/02,0.5955616877213167
DENV3/THAILAND/1997/03080/97,0.5954660300294717
DENV3/THAILAND/2005/01491/05,0.5939205054202825
DENV3/THAILAND/2002/00536/02,0.5936576833327354
DENV3/THAILAND/2006/00018/06,0.591966881416337
DENV3/THAILAND/2014/00654/14,0.5676878717265013
DENV4/THAILAND/1995/00425/95,0.5676524084740002
DENV3/THAILAND/2001/04945/01,0.5645243353505823
DENV2/THAILAND/2010/01363/10,0.5643984492567722
DENV4/THAILAND/1998/04634/98,0.5573141989879852
DENV3/THAILAND/2006/00588/06,0.5543677073605114
DENV1/THAILAND/1995/00288/95,0.5530186065524437
DENV2/THAILAND/2013/00280/13,0.5508797438852259
DENV4/THAILAND/2008/00274/08,0.5401678297729722
DENV1/THAILAND/2006/01934/06,0.5360530854702608
DENV4/THAILAND/2004/01369/04,0.5350212150693924
DENV1/THAILAND/1998/00422/98,0.5298070034251866
DENV1/THAILAND/2006/00482/06,0.5297190999221735
DENV2/THAILAND/1995/00773/95,0.5288181623432976
DENV3/THAILAND/1998/02434/98,0.5282478256584082
DENV1/THAILAND/1996/01231/96,0.5277734253393646
DENV1/THAILAND/2002/01459/02,0.5261168291951623
DENV3/THAILAND/2006/02042/06,0.521057512358106
DENV1/THAILAND/2000/01236/00,0.5157840127581963
DENV3/THAILAND/2001/00152/01,0.5145665585491984
DENV1/THAILAND/2010/01510/10,0.512120623342331
DENV3/THAILAND/1996/00833/96,0.5120132213019162
DENV4/THAILAND/2008/02023/08,0.5042393777066165
DENV1/THAILAND/2006/01831/06,0.5026960524775903
DENV4/THAILAND/2006/00189/06,0.5003547537575527
DENV4/THAILAND/2014/00555/14,0.49976231875284843
DENV4/THAILAND/2008/01380/08,0.49934026883686694
DENV4/THAILAND/2003/02207/03,0.4956159713056827
DENV4/THAILAND/1996/01626/96,0.4936965067998173
DENV1/THAILAND/2006/00418/06,0.48937848757151675
DENV4/THAILAND/2014/00595/14,0.48630022988775956
DENV4/THAILAND/2013/00801/13,0.4862458392523996
DENV2/THAILAND/2006/00036/06,0.48603000089297516
DENV3/THAILAND/2000/02029/00,0.48388008871357907
DENV4/THAILAND/2006/02190/06,0.4806913839930768
DENV1/THAILAND/1999/00380/99,0.47881458526347104
DENV1/THAILAND/2006/00555/06,0.4779553492448218
DENV3/THAILAND/2006/02485/06,0.4764814927659236
DENV3/THAILAND/1996/01720/96,0.47454254619948233
DENV4/THAILAND/2005/00201/05,0.46214902004531677
DENV2/THAILAND/2013/00662/13,0.45892480290545734
DENV4/THAILAND/1994/00615/94,0.45784800595381253
DENV3/THAILAND/2006/01067/06,0.45470328200258947
DENV4/THAILAND/2004/00965/04,0.45345163649591097
DENV3/THAILAND/1995/00631/95,0.4442887905372609
DENV3/THAILAND/2002/00501/02,0.44290463099652594
DENV3/THAILAND/2004/01393/04,0.41785323787589185
DENV2/THAILAND/2011/00220/11,0.4142555413360867
DENV4/THAILAND/2003/02377/03,0.41069454850686204
DENV1/THAILAND/2000/02059/00,0.40843601769103144
