featureType,protein_name,dataset,lower,Median,upper
aasub,1,test_rmse,0.7202949999999999,0.7321,0.74202
aasub,1,train_rmse,0.7241474999999999,0.7252,0.7265524999999999
aasub,10,test_rmse,0.7192175000000001,0.7293999999999999,0.7399
aasub,10,train_rmse,0.7222999999999999,0.7234499999999999,0.7246049999999999
aasub,11,test_rmse,0.7315275,0.74415,0.7549049999999999
aasub,11,train_rmse,0.7362,0.73740000000000006,0.7387525
aasub,12,test_rmse,0.723695,0.7336,0.7455350000000001
aasub,12,train_rmse,0.7256475,0.72695,0.7281
aasub,13,test_rmse,0.7192375,0.7295,0.7395149999999999
aasub,13,train_rmse,0.7212474999999999,0.7223999999999999,0.7234999999999999
aasub,14,test_rmse,0.7374449999999999,0.7494,0.7613599999999999
aasub,14,train_rmse,0.7417425,0.7431,0.7443575
aasub,15,test_rmse,0.7333949999999999,0.7456,0.75607
aasub,15,train_rmse,0.7369950000000001,0.7381,0.7394999999999999
aasub,16,test_rmse,0.7432,0.7538,0.7653675
aasub,16,train_rmse,0.7458,0.7471,0.7482525
aasub,17,test_rmse,0.7394,0.7493,0.7613525
aasub,17,train_rmse,0.7412475,0.7424999999999999,0.7437
aasub,18,test_rmse,0.7158749999999999,0.72605,0.7371525
aasub,18,train_rmse,0.7185474999999999,0.71995,0.7210525
aasub,19,test_rmse,0.734595,0.74545,0.755415
aasub,19,train_rmse,0.7374475,0.7386,0.7397525
aasub,2,test_rmse,0.7302275,0.74015,0.7506575
aasub,2,train_rmse,0.7318475,0.7331,0.7342
aasub,20,test_rmse,0.7225424999999999,0.7333999999999999,0.7446200000000001
aasub,20,train_rmse,0.7253474999999999,0.72655,0.7279
aasub,3,test_rmse,0.7302325000000001,0.7395,0.7497099999999999
aasub,3,train_rmse,0.7322474999999999,0.7334499999999999,0.7344525
aasub,4,test_rmse,0.7259249999999999,0.73575,0.7469524999999999
aasub,4,train_rmse,0.7282,0.7294999999999999,0.7305575
aasub,5,test_rmse,0.733495,0.7444500000000001,0.7548050000000001
aasub,5,train_rmse,0.7361475,0.73740000000000006,0.7386
aasub,6,test_rmse,0.72,0.7302,0.7406675
aasub,6,train_rmse,0.7220949999999999,0.7232999999999999,0.7245524999999999
aasub,7,test_rmse,0.7302899999999999,0.74115,0.7540925
aasub,7,train_rmse,0.7326425,0.73405,0.7352
aasub,8,test_rmse,0.725095,0.73585,0.7468649999999999
aasub,8,train_rmse,0.7277899999999999,0.729,0.7302525
aasub,9,test_rmse,0.7249950000000001,0.7361,0.74562
aasub,9,train_rmse,0.727795,0.7288,0.7301
